tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,fBodyAcc-mean()-X,label
0.6311,0.527,1.2657,0.6611,0.4009,0.7657,1.0266,0.28,0.4169,0.427,2
0.0455,0.5636,0.5118,0.9382,0.9786,0.3814,0.7224,0.8639,0.7722,0.4635,3
0.1644,-0.2577,0.4843,0.6771,1.5755,0.5056,0.5934,0.8087,1.0501,0.8198,3
0.5706,0.479,0.022,0.6544,0.7274,1.1517,1.1935,0.8254,0.8405,0.6788,3
1.247,0.1844,0.7897,1.067,0.7682,0.4683,0.6407,1.1076,0.4452,0.4635,3
0.5949,0.2556,1.1212,0.5818,0.5118,0.8898,0.432,0.8629,0.9943,0.4663,3
-0.0841,0.3452,0.9345,0.931,1.2808,0.6944,0.5936,1.4679,0.5001,-0.3707,3
0.6317,0.6808,0.7773,0.5841,1.0021,1.0017,0.59,0.6859,0.5823,0.708,3
0.0229,0.7202,0.2459,1.4892,0.5863,0.8659,0.6196,0.3497,0.8761,0.3398,3
0.3492,0.4475,0.1614,0.7678,0.8952,0.8432,0.8022,1.1324,-0.2028,0.7091,3
0.1772,-0.1881,0.7988,1.2064,0.7651,0.4876,0.1207,0.8184,0.8993,0.6341,3
0.5379,0.2258,0.4965,0.661,0.3291,0.9919,0.0087,1.3735,0.8639,0.2555,3
0.7171,0.5611,0.9255,0.8344,0.6306,0.492,0.4493,0.545,1.0101,0.3432,3
0.9113,0.742,0.0621,0.5689,0.5364,0.5675,0.1392,1.1347,0.5651,0.1976,3
1.2402,0.6163,0.9661,1.2701,0.6577,0.6292,0.0322,1.0427,0.8645,0.7288,4
0.8234,0.037,0.8504,1.3366,1.0572,0.3032,0.8532,0.8809,1.139,0.6336,3
0.8227,-0.1852,0.7236,0.1845,0.9116,0.2789,0.6687,1.0673,1.3512,0.8081,3
0.7305,-0.2108,0.7555,0.5749,0.7372,0.5734,0.6622,1.2563,0.9482,0.687,3
0.3232,0.3789,0.7557,1.014,0.249,0.7518,0.0571,1.1521,0.5857,0.0708,3
0.6007,0.0611,0.8747,0.9521,0.7521,0.8678,0.2136,0.795,0.6567,0.7765,3
0.4283,-0.5836,0.6507,0.7423,0.6182,0.0939,0.0867,0.8998,0.9217,0.339,3
0.951,1.0241,1.3013,0.6656,0.952,1.4915,1.0477,0.7095,0.6199,1.5369,6
1.264,0.3762,0.5731,1.222,0.6811,0.7161,0.2632,0.9296,0.1417,0.6778,3
-0.3536,0.0891,0.756,1.0836,1.2315,0.7847,0.4526,1.2055,0.1159,-0.0782,3
0.515,-0.3525,1.0342,0.7478,0.8965,1.1012,0.5229,1.1117,0.3548,0.9499,3
0.2931,0.1713,0.8298,1.031,0.5174,0.3931,0.0233,0.8694,0.1589,0.332,3
0.8178,0.2246,0.4729,1.1732,0.8004,0.7863,0.4399,0.6819,0.9967,0.642,3
0.454,0.4957,1.1097,0.9583,0.9948,0.061,0.3242,0.8771,0.5462,0.4189,3
0.6324,0.7659,0.7964,0.5094,0.3254,0.2889,0.9527,0.517,0.3928,0.1545,1
0.415,0.2184,0.3706,0.8835,0.9125,0.5202,0.897,1.0182,0.2716,0.5319,3
0.7472,0.5491,0.6081,0.509,0.7844,0.6353,1.1089,1.1732,0.6827,0.7139,3
0.4465,0.5996,0.6084,0.8743,0.3809,0.4923,0.106,0.909,0.7158,0.8985,3
0.4972,0.1541,0.7895,0.7272,0.1663,0.6889,0.3754,0.7937,0.5376,0.7823,3
0.5024,0.1141,0.9415,0.5053,0.9793,0.2776,0.4087,1.4483,0.6107,0.6381,3
0.3167,0.4595,0.9112,1.0048,1.2284,0.4753,0.1373,1.1603,0.407,0.8517,3
0.7609,1.2882,0.7886,0.6871,0.8281,0.7002,0.9743,0.2352,1.1275,1.0357,5
0.6761,0.2845,0.9375,1.0991,0.7104,0.4816,0.0147,0.384,0.8024,0.0468,3
0.6479,0.6281,0.7055,1.1884,1.5495,-0.0667,0.4651,1.3838,0.0768,0.0966,3
0.3572,0.4467,0.8366,0.9982,0.6696,0.6198,0.4305,0.8159,1.1619,0.7259,3
0.01,0.5166,0.4398,0.7628,1.331,0.8523,0.3999,0.789,1.0678,0.8088,3
0.9476,0.1897,1.5418,0.454,0.9342,0.7366,0.3575,1.0308,0.1508,0.6553,3
0.4626,0.9522,0.6842,1.4519,0.9341,0.6696,0.8786,1.1128,1.1571,0.6651,3
-0.2657,0.7213,0.0734,0.9758,0.5039,0.1095,0.8739,0.1008,0.1362,0.4253,2
0.7069,0.7005,0.383,0.8626,0.9828,0.5803,0.8252,0.7965,1.0142,0.824,3
0.6336,0.7246,0.1881,0.9659,0.8976,0.5377,1.005,0.5063,0.7718,0.7005,3
0.4256,0.4171,0.954,1.1533,0.9031,0.9931,0.616,1.429,0.6154,0.5163,3
0.2289,-0.2222,0.7879,0.8967,0.7004,0.3565,0.2114,1.166,1.1029,0.7277,3
0.9036,0.8307,1.0363,1.1497,0.7275,0.5747,0.7649,1.2306,0.5656,0.7108,3
0.6751,0.5294,0.7636,0.7501,0.8064,0.4524,0.7099,0.5296,0.9198,0.3982,3
0.8064,0.3511,0.3167,0.4871,0.8531,0.6745,0.4261,0.7978,0.7672,0.9434,3
0.612,0.6103,0.7385,1.0255,1.0316,0.0702,0.4635,0.6792,1.0316,0.4239,3
0.4412,0.3791,0.571,1.0653,0.3785,-0.0451,0.317,0.8108,0.7606,0.4936,3
0.5304,0.3164,1.1906,0.7893,1.1428,0.5685,0.3339,0.7466,0.7018,0.2273,3
-0.0209,0.5462,0.9253,0.8107,0.7541,1.5596,0.3502,1.2452,0.4627,0.5275,3
0.2686,0.4657,0.1986,1.0915,0.8586,-0.0887,0.7162,0.9038,0.7826,0.1466,3
0.2558,0.1534,1.0391,0.7149,0.9311,0.5464,0.3991,1.1247,0.6384,0.2733,3
0.8838,1.146,0.5444,0.7252,0.2815,0.8177,0.8096,0.9267,0.5631,0.732,4
0.0928,0.1321,0.095,1.1678,0.8396,0.2466,0.0101,0.7676,0.6529,0.8399,3
0.1438,0.4024,1.0361,1.0135,1.324,0.3064,0.0487,0.8847,0.62,0.6836,3
0.6645,0.0648,0.3826,0.6351,1.0513,0.56,0.0585,0.7907,0.4454,-0.0078,3
1.0176,0.5366,0.9549,0.9614,0.4761,1.0309,0.7923,0.7549,0.2833,0.4476,3
0.7852,0.4477,0.6096,0.9282,0.7122,0.8267,0.6342,1.1405,0.3963,0.9204,3
0.6563,0.1885,0.8078,0.4387,0.96,0.7206,0.6188,0.8852,0.4219,0.3162,3
