tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,fBodyAcc-mean()-X,label
1.314,0.6025,0.7259,1.3171,0.7015,1.0201,0.794,0.5921,0.8872,0.8019,5
0.5481,0.4239,0.3579,0.7388,0.0523,-0.423,1.1843,0.3236,0.6177,0.3273,2
-0.2435,0.0711,0.7648,0.7042,0.3074,0.5948,0.7075,0.5451,0.0758,-0.0785,2
0.3191,0.5914,0.2285,1.0613,0.5758,0.9094,0.9883,0.8567,0.3191,0.1583,2
0.9482,0.7803,0.6984,0.3195,0.758,0.0857,0.9477,0.7631,0.544,0.2976,2
0.4744,0.447,0.6555,0.9668,0.2976,0.1432,0.1668,0.9376,0.1532,0.9738,2
0.4015,0.7458,0.563,0.733,0.4231,0.5268,0.4796,0.7964,-0.1094,0.4376,2
0.1755,0.4179,0.4569,0.2988,0.5076,-0.4166,0.5748,0.4655,0.1791,0.8746,2
0.2416,0.5258,0.1479,0.8612,0.7047,-0.065,1.2024,0.1409,0.0338,0.8279,2
0.8027,0.5779,0.4385,0.3726,0.2647,0.4414,0.8885,0.1962,0.5315,-0.0681,2
0.3507,0.111,0.1026,1.2056,0.6606,0.2901,0.4575,0.9025,0.4099,0.3554,2
-0.4229,0.6537,0.7026,0.7289,0.1643,-0.1619,1.1191,0.3893,0.6012,-0.1779,2
0.1968,0.5892,0.4685,1.123,0.7414,0.6901,0.9818,0.4142,0.1456,0.3333,2
0.6521,0.3243,-0.1477,0.6372,0.5025,0.232,0.9004,0.2143,1.1558,0.4496,2
0.1891,0.4133,0.7347,1.1387,0.8496,0.7752,0.4879,0.9033,0.3706,0.3645,3
0.2648,0.0132,0.7188,0.4924,0.8306,0.619,0.6918,1.3867,0.8035,0.3841,2
0.4127,0.2057,0.2066,0.6278,0.3366,0.6399,0.3672,0.5609,0.7688,0.6588,2
0.8481,0.9686,0.1208,0.4722,0.3135,0.8306,0.6363,-0.1378,0.192,0.4845,2
0.2334,0.3303,0.4904,0.3434,0.4695,0.2434,0.6506,0.395,0.6286,0.6534,2
0.4725,0.1575,-0.0248,0.5242,0.7302,0.3685,0.6198,0.0085,0.4753,0.3336,2
-0.2184,0.4842,0.4982,0.946,0.1086,-0.0357,0.8173,0.9436,0.4359,0.7715,2
0.5711,0.9623,0.3354,0.1373,0.8891,1.1167,0.3696,0.9291,1.1453,0.7173,4
0.2943,0.4859,0.2278,0.2552,0.6116,1.0681,0.6667,0.3491,0.9488,0.3894,2
0.0657,0.9527,0.6895,0.8026,-0.1521,0.7648,0.7107,0.7824,0.5472,1.1352,2
0.5361,0.932,0.2951,0.9189,0.6687,0.2346,0.3804,0.4237,0.129,0.4561,2
0.1414,0.193,0.5226,0.6333,0.1914,0.1582,0.8537,0.3332,0.2464,0.3083,2
-0.2592,0.3114,0.1814,0.5617,0.3965,0.2655,1.0525,0.2404,0.7317,0.6905,2
1.0845,0.1204,0.2892,0.7052,0.7261,0.3045,1.0246,0.5254,-0.0413,0.6823,2
1.2471,1.3105,1.0615,0.727,1.013,1.5221,0.4739,1.1795,0.2538,1.1542,6
-0.5126,0.3382,0.6853,0.1574,0.0893,0.425,0.7146,0.5837,0.8077,0.239,2
0.3632,-0.1906,-0.4187,0.2958,-0.3309,0.5411,1.0557,0.6421,-0.0997,0.3606,2
-0.2257,0.331,0.1835,0.9214,0.6172,0.011,1.2351,0.5573,0.6548,0.6002,2
0.6828,0.7361,0.7347,1.0166,0.6836,0.4896,0.5693,-0.1418,0.773,0.7799,2
-0.0345,0.6514,0.5488,0.6258,1.056,0.6999,0.3876,0.5246,0.7053,0.9394,2
0.462,0.284,0.6113,0.0279,0.887,0.381,0.6309,0.282,0.4499,0.3462,2
0.2996,0.2049,1.2266,0.3646,0.3543,0.4062,0.312,0.8356,0.3518,0.0724,1
-0.0068,0.2808,0.3537,1.0046,-0.2662,0.737,1.2418,0.9661,0.1835,0.3476,2
0.6821,0.6035,0.5915,0.3371,0.4137,0.0407,1.3012,0.8192,0.2699,0.9176,2
0.3442,-0.2114,0.6744,0.3719,0.5991,0.2585,0.4974,0.3981,0.7199,0.2419,2
0.0039,-0.0605,0.3128,0.8658,0.7226,0.5679,0.9519,0.9621,0.8577,1.0838,2
0.0364,0.208,0.7389,0.8223,0.3459,0.3347,1.0808,0.4584,0.1747,0.6983,2
0.1314,0.5727,0.5704,0.5082,0.2328,0.7041,0.5365,0.5341,0.2927,0.6107,2
0.6871,1.0001,0.7333,0.6836,0.7234,1.0219,0.8368,1.1739,1.1414,1.4909,5
-0.124,0.2938,0.8772,0.2217,0.7181,0.3842,1.1119,0.4071,0.179,0.8458,2
0.9561,0.046,0.5861,0.361,0.6486,0.5375,0.5807,0.0877,0.4234,0.6102,2
0.5723,0.3916,0.8243,0.687,0.9503,0.7177,0.3941,0.4241,0.5389,0.5315,2
0.4146,0.9149,0.2482,0.3989,0.2421,0.7277,1.4873,0.251,1.1217,0.1878,2
0.3485,0.4528,0.6079,0.4014,0.166,0.3538,1.12,0.4467,0.5344,0.7518,2
0.7539,0.0861,0.9929,1.194,0.165,0.7488,0.2554,0.2658,0.3266,0.6049,2
-0.2477,0.1925,0.0245,0.8985,0.2328,0.4932,0.6632,0.6673,-0.3593,0.5969,2
-0.1315,0.1233,0.6238,0.8602,0.2415,0.2574,1.4029,0.5331,0.7031,0.919,2
0.5462,0.3699,0.4668,0.8671,-0.3096,0.1809,0.9382,0.6774,0.592,0.4534,2
0.0612,-0.0161,0.5707,0.6002,0.5382,-0.2706,0.6854,0.1835,0.6956,0.8176,2
0.5049,0.5691,0.8521,0.6792,0.2597,0.45,0.8199,0.6092,0.5539,0.6272,2
0.3774,0.3915,0.4307,0.2763,0.282,0.2662,1.3408,0.4347,0.1367,0.7798,2
0.4522,0.3138,0.793,0.3035,0.1621,0.2487,0.6899,0.4293,0.4015,0.8802,2
0.5227,0.5249,0.6272,0.5948,0.7834,0.3012,0.7096,0.9195,0.3864,0.5756,3
0.3406,0.2464,0.1837,0.5062,0.345,0.2462,-0.0389,0.269,1.0395,1.0824,2
0.62,0.3321,0.8069,0.7714,0.5133,0.3968,0.8092,-0.0219,0.7049,0.8708,2
0.382,0.5104,0.2499,0.5663,0.3016,0.0913,0.8869,1.1685,0.9395,0.6207,2
0.1716,1.0297,0.2402,0.3927,0.6252,0.9777,1.2786,-0.095,-0.177,0.2358,2
0.6509,0.127,0.284,0.9463,0.1962,0.8583,0.2306,0.3033,0.7913,0.2842,2
0.3787,0.6594,0.7329,0.7386,0.6391,0.6117,0.8413,0.3543,0.9887,0.2653,2
1.0295,0.6807,0.7164,1.0211,0.1977,0.3353,0.7263,0.9162,1.028,0.7425,4
0.4512,0.2807,0.8348,0.5498,0.0595,0.054,0.938,0.2218,-0.1125,0.7307,2
0.2899,0.6555,0.9273,0.1504,0.629,0.1567,0.7225,0.6175,0.4469,0.5178,2
0.327,0.4605,-0.4531,0.8619,0.7066,0.498,0.7466,0.9633,0.2849,0.7455,2
0.0693,-0.2015,0.5551,0.6933,-0.0854,0.785,0.9523,0.5597,0.0901,0.1976,2
0.213,0.4271,0.3695,0.5568,0.5917,0.4459,0.9289,0.4461,-0.1498,0.6866,2
0.3908,0.6841,0.6049,0.2276,0.6278,0.7495,1.3541,0.4818,0.4637,0.5847,2
