tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,fBodyAcc-mean()-X,label
0.4966,0.5217,0.8663,0.9882,0.6675,0.689,0.5886,0.552,0.5593,0.7256,3
0.475,1.2079,1.0367,0.3065,0.2731,1.1768,0.3267,0.8862,1.3622,0.5378,4
1.1062,0.9394,0.2883,0.7847,0.3589,0.9405,0.8679,1.2087,0.7613,0.9539,4
1.096,1.2897,0.9766,0.3748,0.3993,0.5633,0.4835,0.4513,1.7782,0.8506,4
0.9045,0.9048,0.7161,0.2,0.4286,1.1021,1.0757,1.0208,0.7489,0.3178,4
0.335,1.01,0.7742,0.7154,0.9248,0.9409,0.6345,1.1145,1.3647,1.0354,4
1.5269,0.4542,0.5862,0.9807,0.2984,0.7347,0.5574,0.5838,1.2596,0.832,4
1.4531,0.9334,1.1834,0.6227,0.5597,0.4369,0.7787,0.8687,0.7567,0.6832,4
0.7972,0.9546,0.8533,0.4353,0.6327,1.3868,0.7916,0.9214,1.3997,0.6055,4
1.0482,1.0526,0.5355,0.1983,1.416,0.7887,0.6011,0.7741,1.0753,0.4871,4
0.9357,0.887,1.161,0.7311,0.5544,0.6111,0.7104,0.8767,1.4916,0.3078,4
1.4788,1.197,0.5594,0.4885,0.3515,0.9457,1.0526,0.6756,0.6723,0.8566,4
1.1697,1.2371,1.0719,0.3729,0.4321,0.609,1.183,0.8428,0.5609,0.7514,4
1.08,0.6832,0.6305,0.5218,0.7228,0.545,1.0479,0.7923,0.617,0.7317,4
0.7952,1.0813,1.4255,1.0499,0.7076,1.4256,0.95,1.1979,1.0899,1.0619,6
0.9984,0.7352,1.192,0.9402,0.2041,1.0102,0.9479,0.9469,0.8262,0.678,4
0.9575,0.7064,0.9356,0.81,0.9923,0.8877,0.639,0.7187,0.9431,1.0651,4
1.1099,1.4956,0.8763,0.5691,0.3483,0.2497,0.9033,0.9234,1.2581,0.8436,4
1.2375,1.1319,0.9379,1.1685,0.608,0.8847,0.2857,0.7908,0.9687,0.3054,4
1.0046,1.1954,0.6553,-0.0739,0.3101,0.6672,0.4389,1.1771,0.8567,1.1205,4
0.9408,1.1577,0.9262,0.7229,0.8851,0.5942,0.8192,0.8485,0.5835,1.2794,4
0.1754,0.6532,0.7479,0.1069,0.2126,0.3402,0.7554,0.3031,0.5685,-0.5319,1
1.278,0.6101,1.1014,0.9528,0.5622,0.8137,0.8744,0.9321,0.5743,1.2407,4
1.6756,0.8717,0.5439,1.2288,0.4907,0.9941,0.5228,0.8589,0.9508,0.705,4
0.5775,0.6378,1.2019,0.8606,0.4226,0.7845,0.6526,0.6442,1.1101,1.0892,4
0.6309,1.3155,0.8814,0.9907,0.7625,0.4715,0.5108,1.0439,0.7803,1.0963,4
1.193,-0.132,0.4556,0.6255,0.7184,0.4647,0.587,1.3638,1.1043,0.6151,4
1.0676,0.8181,0.9071,0.9714,0.9842,0.6065,0.4737,1.0851,0.6237,0.8781,4
0.2823,0.3337,1.0395,1.3338,1.4987,0.7032,0.765,0.2743,1.1985,0.9279,5
0.4494,1.068,0.9764,0.9756,0.9953,0.7356,0.3121,1.0286,0.4905,0.8629,4
1.2578,1.1112,0.118,1.0395,0.8529,0.6017,0.2138,1.7398,1.4629,0.8362,4
1.2479,0.9258,0.5267,0.342,0.56,0.6388,0.1201,1.2411,0.9365,1.1667,4
0.4469,0.6875,0.9778,0.2007,0.4443,1.2176,0.6932,0.8266,0.9491,0.4693,4
0.6767,1.184,1.034,0.0936,0.9032,0.1337,0.833,0.6274,0.7625,0.1797,4
0.903,0.8389,0.4328,0.9674,0.8444,0.8192,0.8514,0.5199,1.5192,0.8593,4
0.0749,0.2112,0.419,0.4947,0.7916,0.7519,0.6276,0.1214,0.2171,0.6771,2
1.4839,1.409,0.7222,1.0016,0.6765,0.7984,0.5133,1.0795,1.5485,1.2205,4
1.1139,1.1228,0.7344,1.2225,0.9876,0.4843,0.3248,0.6011,1.4358,0.8824,4
1.5935,0.7235,0.9336,0.6185,0.4876,-0.1113,0.6092,1.1478,1.2212,0.7688,4
1.2589,1.2706,0.6143,1.0749,0.695,1.0165,0.3279,0.7306,0.8117,0.4675,4
1.0101,1.1032,0.906,0.7576,0.6353,0.539,0.6748,0.9015,1.2595,0.4683,4
1.1201,1.4156,0.8787,0.6374,0.8825,1.2112,0.637,0.667,0.731,0.8313,4
0.0771,0.7825,0.3237,0.7031,1.3566,0.2325,0.4617,0.9303,0.1568,1.1813,3
0.9255,0.9116,0.6179,0.3648,0.6446,0.4218,0.5411,1.185,1.2104,1.0305,4
0.8407,0.8916,1.2026,0.8343,0.3648,0.4067,0.4748,0.9271,0.7508,0.7671,4
1.1743,0.7833,0.9565,0.2984,0.5854,1.1877,0.8182,0.9973,0.9768,0.7171,4
0.3931,0.667,1.3007,0.5817,0.821,0.5682,0.4524,1.0806,1.1155,0.8493,4
1.1977,0.9723,0.6567,0.9546,0.134,0.8649,0.3757,1.1519,1.1085,0.4911,4
0.8669,0.1191,0.9929,0.5535,1.0687,0.2234,0.6167,1.0677,0.9417,0.3613,4
1.2332,1.7145,-0.0212,0.8825,0.2211,0.7999,0.9566,1.3138,0.8025,0.8751,4
0.6063,1.0975,1.1869,0.3706,1.1399,0.5471,0.4704,1.0314,1.2684,0.6242,4
1.4328,0.7792,0.8997,0.3142,0.8067,1.1296,0.5254,0.7756,0.6277,1.1862,4
1.0103,0.9468,0.8555,1.0156,0.6285,1.1582,0.5599,1.217,1.4925,0.5216,4
1.0177,0.5771,0.2915,0.5224,0.7754,1.0714,0.8156,1.1508,0.8362,1.2173,4
0.7157,1.2303,0.4447,0.5155,0.4176,0.9338,0.9058,1.2061,0.8927,1.0205,4
1.2492,0.7124,1.1261,0.9627,0.4607,0.9741,0.319,0.6833,1.2019,0.6476,4
